libresplit-git	0	  /gnu/store/2pnmjkji6vfpcy3zlcrx7bgk5347050v-libresplit-git-0.9.8.drv
terraform-bin	0	  /gnu/store/12239l38clw0rgaa425gx3vq0gv84q1x-terraform-bin-0.9.8.drv
marimo	0	  /gnu/store/pr1whxz1mvyflmyg4inv2g3plawirk8d-marimo-0.9.8.drv
texlive-installer	0	  /gnu/store/h4a78s8f09vr16fs430rwnm99mxb5mw1-texlive-installer-0.9.8.drv
acestream-engine	0	  /gnu/store/cm51bq2m4qsiyknq6d9hwwf8ywgw8xpv-acestream-engine-0.9.8.drv
rofi-games	0	  /gnu/store/15lhzmcq08hgc711slp2zxh4mvf0l85b-rofi-games-0.9.8.drv
python-pybeam	0	  /gnu/store/8y6cb8dk6bv4lvk7kf3jiyzn74x5wiqy-python-pybeam-0.9.8.drv
waybar-updates	0	  /gnu/store/i4yqcqzw0ls8bf43arf552ydfw8m4f2w-waybar-updates-0.9.8.drv
pacsea-git	0	  /gnu/store/gkblhjr2hqrnz85haz9pwgcj84ach86y-pacsea-git-0.9.8.drv
espionage	0	  /gnu/store/7kdpgqmy1rs28rsqdx09j6drl3q6b59s-espionage-0.9.8.drv
aylurs-gtk-shell-git	0	  /gnu/store/jcgg7sk5ffxznmmayy6c2qcgvd2s4h20-aylurs-gtk-shell-git-0.9.8.drv
lightdm-settings	0	  /gnu/store/s3vpgwpc2w399ngjmb4bnmjzq48llxn1-lightdm-settings-0.9.8.drv
flite1	0	  /gnu/store/pjy8qy1dm9wy59nnmskbnwjh02qfhv8h-flite1-0.9.8.drv
googler	0	  /gnu/store/9q13rqv6pzmf9d0sx01d3npbwllimwr5-googler-0.9.8.drv
rollup	0	  /gnu/store/fkv9skkm63zh9ljsyjh45wsqn7an449x-rollup-0.9.8.drv
lact-headless-bin	0	  /gnu/store/gkv75pizjr27hy4d7qsld2ys5fair1g2-lact-headless-bin-0.9.8.drv
clipvault-bin	0	  /gnu/store/0pqwp88s0adgr4psjixaprzn3qn75ipl-clipvault-bin-0.9.8.drv
jre-jetbrains	0	  /gnu/store/ac8jmwxn2wind3v224yy8r3rxxz2jjy3-jre-jetbrains-0.9.8.drv
openssh-askpass	0	  /gnu/store/hil69b4yd5j7y52s80i1irivrs3vj5c5-openssh-askpass-0.9.8.drv
virt-v2v	0	  /gnu/store/326jda2g8ccwna2z6f1ihd6wlqw5wmxc-virt-v2v-0.9.8.drv
gnome-monitor-config-git	0	  /gnu/store/q3wqc9z6p0ckzp0jkqz57irg5cxp3588-gnome-monitor-config-git-0.9.8.drv
sysinfo	0	  /gnu/store/iyddarzn5p2j6636m46m49hnc1rlp9zp-sysinfo-0.9.8.drv
playonlinux	0	  /gnu/store/2zyinxl7n4snk9s3xh96h3lb0nyxc1v8-playonlinux-0.9.8.drv
flow-control-git	0	  /gnu/store/nfch1rldfkk38hvw2bd5a5h4p35c4b28-flow-control-git-0.9.8.drv
python-pipe	0	  /gnu/store/b03b0mz5hrzvjvn5phlwxk6xx7ygy765-python-pipe-0.9.8.drv
updpkgsrcs	0	  /gnu/store/p2lxsskzwlzdba8n36jdy9sg61ls88fc-updpkgsrcs-0.9.8.drv
ttf-aptos	0	  /gnu/store/w15xza0ibcz9hy86gqhpi92a1pjyvjzr-ttf-aptos-0.9.8.drv
picotron	0	  /gnu/store/9h4v3vpnz9hdvj3f8zpp0rz04c6h2pdk-picotron-0.9.8.drv
python-pympress	0	  /gnu/store/kf52vla5g7nw8r9nnc4zcn8dhl7b3824-python-pympress-0.9.8.drv
goldendict	0	  /gnu/store/m5hl7xp61qi4vi597k7w5k25pvvikwf5-goldendict-0.9.8.drv
ccstudio	0	  /gnu/store/lv17gzf6543fz4a26j0lyq7626h3yqpn-ccstudio-0.9.8.drv
pamac-tray-icon-plasma	0	  /gnu/store/ya20z02ib5iqkk43hwn3xwlzzigjd6w5-pamac-tray-icon-plasma-0.9.8.drv
hoppscotch-bin	0	  /gnu/store/62s323rivrav0cv93awdin026xq82nfi-hoppscotch-bin-0.9.8.drv
agesafetch	0	  /gnu/store/zx7wpp2qjwpif4vln7akjmcl07qpyqqm-agesafetch-0.9.8.drv
vkd3d-proton-bin	0	  /gnu/store/msl232ag4vq364sbpswws9lksd34j4z0-vkd3d-proton-bin-0.9.8.drv
ficsit-cli-bin	0	  /gnu/store/7jwlg4xqm7izxpwra78c0wlg3x8y1hcx-ficsit-cli-bin-0.9.8.drv
unetbootin	0	  /gnu/store/5nqdlay38whycpvxrn9kxnl61p9px1s8-unetbootin-0.9.8.drv
cmake-format	0	  /gnu/store/zvx5qlcv306lncc3lx41arz6dq7619iy-cmake-format-0.9.8.drv
keepass-plugin-keechallenge	0	  /gnu/store/anr95jivxhlm0fx0inh4hgm5g88dbf34-keepass-plugin-keechallenge-0.9.8.drv
webcord	0	  /gnu/store/p7z157lghirakmvqx0idcivwzwa6117n-webcord-0.9.8.drv
